1,物の外観に注目したとき、何というか？,物体,物質,質量,物体,外見
2,物を形づくっている材料から判断する場合、何というか？,物質,物体,物質,内容,質量
3,金属以外の物質のことを何というか？,非金属,無機物,非金属,化合物,有機物
4,てんびんではかることのできる物質そのものの量を何というか？,質量,質量,重量,体積,密度
5,物質の単位体積あたりの質量のことを何というか？,密度,重量,密度,比重,重さ
6,炭素をふくむ物質のことを何というか？,有機物,無機物,化合物,有機物,混合物
7,有機物以外の物質のことを何というか？,無機物,有機物,混合物,純物質,無機物
8,水にとけにくい気体を集める方法は何か？,水上置換,下方置換,水上置換,上方置換,水中置換
9,溶液にとけている物質を何というか？,溶質,溶質,溶媒,溶液,液体
10,物質をとかしている液体を何というか？,溶媒,溶液,液体,溶質,溶媒
11,物質がとけている液全体を何というか？,溶液,溶媒,溶質,溶液,液体
12,１種類の物質でできている物のことを何というか？,純物質,無機物,純物質,有機物,混合物
13,いくつかの物質が混じり合った物のことを何というか？,混合物,混合物,化合物,単体,無機物
14,溶液のこさのことを何というか？,濃度,密度,濃度,割合,百分率
15,いくつかの平面で囲まれた規則正しい形をしている固体のことを何というか？,結晶,立体,単体,結晶,化合物
16,物質がそれ以上とけることができないことを何というか？,飽和,飽和,満員,充実,沸騰
17,100gの水に溶かすことができる最大の質量を何というか？,溶解度,融解度,溶融度,水溶度,溶解度
18,溶解度の差を利用して、溶液から溶質を結晶としてとり出すことを何というか？,再結晶,再生,再結晶,復活,再利用
19,固体⇔液体⇔気体のように、温度によって物質の状態が変わることを何というか？,状態変化,状態変化,体積変化,温度変化,物質変化
20,液体が沸騰して気体に変化するときの温度を何というか？,沸点,融点,蒸発,沸点,気化
21,固体がとけて液体に変化するときの温度を何というか？,融点,液化,沸点,溶点,融点
22,液体の混合物を熱して、物質の沸点の差を利用して分離してとり出す方法を何というか？,蒸留,蒸発,蒸留,沸騰,分解
